2024-05-08 07:00:00.000 129        -1.00
2024-05-08 08:00:00.000 129         0.00
2024-05-08 09:00:00.000 129         0.00
2024-05-08 10:00:00.000 129        -1.00
2024-05-08 11:00:00.000 129         0.00
2024-05-08 12:00:00.000 129         0.00
2024-05-08 13:00:00.000 129        -3.00
2024-05-08 14:00:00.000 129        -5.00
2024-05-08 15:00:00.000 129        -5.00
2024-05-08 16:00:00.000 129        -2.00
2024-05-08 17:00:00.000 129        -2.00
2024-05-08 18:00:00.000 129         1.00
2024-05-08 19:00:00.000 129         1.00
2024-05-08 20:00:00.000 129        -1.00
2024-05-08 21:00:00.000 129         2.00
2024-05-08 22:00:00.000 129         3.00
2024-05-08 23:00:00.000 129         4.00
2024-05-09 00:00:00.000 130         6.00
2024-05-09 01:00:00.000 130        10.00
2024-05-09 02:00:00.000 130        11.00
2024-05-09 03:00:00.000 130         8.00
2024-05-09 04:00:00.000 130         5.00
2024-05-09 05:00:00.000 130         3.00
2024-05-09 06:00:00.000 130         2.00
2024-05-09 07:00:00.000 130         3.00
2024-05-09 08:00:00.000 130         5.00
2024-05-09 09:00:00.000 130         7.00
2024-05-09 10:00:00.000 130         8.00
2024-05-09 11:00:00.000 130        11.00
2024-05-09 12:00:00.000 130        12.00
2024-05-09 13:00:00.000 130        13.00
2024-05-09 14:00:00.000 130        10.00
2024-05-09 15:00:00.000 130         8.00
2024-05-09 16:00:00.000 130        12.00
2024-05-09 17:00:00.000 130        16.00
2024-05-09 18:00:00.000 130        19.00
2024-05-09 19:00:00.000 130        17.00
2024-05-09 20:00:00.000 130        14.00
2024-05-09 21:00:00.000 130        10.00
2024-05-09 22:00:00.000 130         9.00
2024-05-09 23:00:00.000 130         6.00
2024-05-10 00:00:00.000 131         4.00
2024-05-10 01:00:00.000 131         3.00
2024-05-10 02:00:00.000 131         5.00
2024-05-10 03:00:00.000 131        13.00
2024-05-10 04:00:00.000 131         6.00
2024-05-10 05:00:00.000 131        -4.00
2024-05-10 06:00:00.000 131        -3.00
2024-05-10 07:00:00.000 131         6.00
2024-05-10 08:00:00.000 131         4.00
2024-05-10 09:00:00.000 131         6.00
2024-05-10 10:00:00.000 131         5.00
2024-05-10 11:00:00.000 131        -3.00
2024-05-10 12:00:00.000 131        -7.00
2024-05-10 13:00:00.000 131        -7.00
2024-05-10 14:00:00.000 131         0.00
2024-05-10 15:00:00.000 131        13.00
2024-05-10 16:00:00.000 131        18.00
2024-05-10 17:00:00.000 131        62.00
2024-05-10 18:00:00.000 131       -36.00
2024-05-10 19:00:00.000 131      -135.00
2024-05-10 20:00:00.000 131      -165.00
2024-05-10 21:00:00.000 131      -287.00
2024-05-10 22:00:00.000 131      -351.00
2024-05-10 23:00:00.000 131      -318.00
2024-05-11 00:00:00.000 132      -322.00
2024-05-11 01:00:00.000 132      -397.00
2024-05-11 02:00:00.000 132      -412.00
2024-05-11 03:00:00.000 132      -403.00
2024-05-11 04:00:00.000 132      -399.00
2024-05-11 05:00:00.000 132      -369.00
2024-05-11 06:00:00.000 132      -332.00
2024-05-11 07:00:00.000 132      -384.00
2024-05-11 08:00:00.000 132      -373.00
2024-05-11 09:00:00.000 132      -306.00
2024-05-11 10:00:00.000 132      -326.00
2024-05-11 11:00:00.000 132      -274.00
2024-05-11 12:00:00.000 132      -264.00
2024-05-11 13:00:00.000 132      -287.00
2024-05-11 14:00:00.000 132      -292.00
2024-05-11 15:00:00.000 132      -275.00
2024-05-11 16:00:00.000 132      -277.00
2024-05-11 17:00:00.000 132      -253.00
2024-05-11 18:00:00.000 132      -206.00
2024-05-11 19:00:00.000 132      -202.00
2024-05-11 20:00:00.000 132      -197.00
2024-05-11 21:00:00.000 132      -179.00
2024-05-11 22:00:00.000 132      -169.00
2024-05-11 23:00:00.000 132      -178.00
2024-05-12 00:00:00.000 133      -159.00
2024-05-12 01:00:00.000 133      -149.00
2024-05-12 02:00:00.000 133      -141.00
2024-05-12 03:00:00.000 133      -145.00
2024-05-12 04:00:00.000 133      -148.00
2024-05-12 05:00:00.000 133      -154.00
2024-05-12 06:00:00.000 133      -144.00
2024-05-12 07:00:00.000 133      -142.00
2024-05-12 08:00:00.000 133      -140.00
2024-05-12 09:00:00.000 133      -122.00
2024-05-12 10:00:00.000 133      -111.00
2024-05-12 11:00:00.000 133      -114.00
2024-05-12 12:00:00.000 133      -114.00
2024-05-12 13:00:00.000 133      -112.00
2024-05-12 14:00:00.000 133      -112.00
2024-05-12 15:00:00.000 133      -106.00
2024-05-12 16:00:00.000 133      -103.00
2024-05-12 17:00:00.000 133       -98.00
2024-05-12 18:00:00.000 133       -89.00
2024-05-12 19:00:00.000 133       -86.00
2024-05-12 20:00:00.000 133       -83.00
2024-05-12 21:00:00.000 133       -86.00
2024-05-12 22:00:00.000 133       -98.00
2024-05-12 23:00:00.000 133       -92.00
2024-05-13 00:00:00.000 134       -83.00
2024-05-13 01:00:00.000 134       -83.00
2024-05-13 02:00:00.000 134       -89.00
2024-05-13 03:00:00.000 134       -96.00
2024-05-13 04:00:00.000 134      -102.00
2024-05-13 05:00:00.000 134       -96.00
2024-05-13 06:00:00.000 134       -96.00
2024-05-13 07:00:00.000 134       -77.00
2024-05-13 08:00:00.000 134       -71.00
2024-05-13 09:00:00.000 134       -67.00
2024-05-13 10:00:00.000 134       -65.00
2024-05-13 11:00:00.000 134       -67.00
2024-05-13 12:00:00.000 134       -65.00
2024-05-13 13:00:00.000 134       -72.00
2024-05-13 14:00:00.000 134       -68.00
2024-05-13 15:00:00.000 134       -61.00
2024-05-13 16:00:00.000 134       -61.00
2024-05-13 17:00:00.000 134       -60.00
2024-05-13 18:00:00.000 134       -58.00
2024-05-13 19:00:00.000 134       -55.00
2024-05-13 20:00:00.000 134       -55.00
2024-05-13 21:00:00.000 134       -53.00
2024-05-13 22:00:00.000 134       -55.00
2024-05-13 23:00:00.000 134       -56.00
