2017-09-08 12:00:00.000 251       -75.00
2017-09-08 13:00:00.000 251       -99.00
2017-09-08 14:00:00.000 251      -102.00
2017-09-08 15:00:00.000 251      -100.00
2017-09-08 16:00:00.000 251       -94.00
2017-09-08 17:00:00.000 251      -109.00
2017-09-08 18:00:00.000 251       -96.00
2017-09-08 19:00:00.000 251       -94.00
2017-09-08 20:00:00.000 251       -82.00
2017-09-08 21:00:00.000 251       -74.00
2017-09-08 22:00:00.000 251       -83.00
2017-09-08 23:00:00.000 251       -76.00
2017-09-09 00:00:00.000 252       -72.00
2017-09-09 01:00:00.000 252       -67.00
2017-09-09 02:00:00.000 252       -62.00
2017-09-09 03:00:00.000 252       -59.00
2017-09-09 04:00:00.000 252       -55.00
2017-09-09 05:00:00.000 252       -52.00
2017-09-09 06:00:00.000 252       -50.00
2017-09-09 07:00:00.000 252       -46.00
2017-09-09 08:00:00.000 252       -44.00
2017-09-09 09:00:00.000 252       -43.00
2017-09-09 10:00:00.000 252       -44.00
2017-09-09 11:00:00.000 252       -43.00
2017-09-09 12:00:00.000 252       -41.00
2017-09-09 13:00:00.000 252       -42.00
2017-09-09 14:00:00.000 252       -42.00
2017-09-09 15:00:00.000 252       -40.00
2017-09-09 16:00:00.000 252       -39.00
2017-09-09 17:00:00.000 252       -37.00
2017-09-09 18:00:00.000 252       -36.00
2017-09-09 19:00:00.000 252       -35.00
2017-09-09 20:00:00.000 252       -35.00
2017-09-09 21:00:00.000 252       -35.00
2017-09-09 22:00:00.000 252       -36.00
2017-09-09 23:00:00.000 252       -37.00
2017-09-10 00:00:00.000 253       -37.00
2017-09-10 01:00:00.000 253       -33.00
2017-09-10 02:00:00.000 253       -34.00
2017-09-10 03:00:00.000 253       -33.00
2017-09-10 04:00:00.000 253       -29.00
2017-09-10 05:00:00.000 253       -24.00
2017-09-10 06:00:00.000 253       -22.00
2017-09-10 07:00:00.000 253       -19.00
2017-09-10 08:00:00.000 253       -17.00
2017-09-10 09:00:00.000 253       -18.00
2017-09-10 10:00:00.000 253       -20.00
2017-09-10 11:00:00.000 253       -20.00
2017-09-10 12:00:00.000 253       -20.00
2017-09-10 13:00:00.000 253       -20.00
2017-09-10 14:00:00.000 253       -19.00
2017-09-10 15:00:00.000 253       -20.00
2017-09-10 16:00:00.000 253       -20.00
2017-09-10 17:00:00.000 253       -21.00
2017-09-10 18:00:00.000 253       -20.00
2017-09-10 19:00:00.000 253       -17.00
2017-09-10 20:00:00.000 253       -22.00
2017-09-10 21:00:00.000 253       -25.00
2017-09-10 22:00:00.000 253       -30.00
2017-09-10 23:00:00.000 253       -25.00
2017-09-11 00:00:00.000 254       -24.00
2017-09-11 01:00:00.000 254       -19.00
2017-09-11 02:00:00.000 254       -16.00
2017-09-11 03:00:00.000 254       -14.00
2017-09-11 04:00:00.000 254       -14.00
2017-09-11 05:00:00.000 254       -12.00
2017-09-11 06:00:00.000 254       -13.00
2017-09-11 07:00:00.000 254       -14.00
2017-09-11 08:00:00.000 254        -8.00
2017-09-11 09:00:00.000 254        -6.00
2017-09-11 10:00:00.000 254        -9.00
2017-09-11 11:00:00.000 254        -5.00
2017-09-11 12:00:00.000 254        -2.00
2017-09-11 13:00:00.000 254        -1.00
2017-09-11 14:00:00.000 254        -2.00
2017-09-11 15:00:00.000 254        -4.00
2017-09-11 16:00:00.000 254        -6.00
2017-09-11 17:00:00.000 254        -7.00
2017-09-11 18:00:00.000 254        -7.00
2017-09-11 19:00:00.000 254        -5.00
2017-09-11 20:00:00.000 254        -6.00
2017-09-11 21:00:00.000 254        -8.00
2017-09-11 22:00:00.000 254        -8.00
2017-09-11 23:00:00.000 254       -13.00
2017-09-12 00:00:00.000 255        -8.00
2017-09-12 01:00:00.000 255        -4.00
2017-09-12 02:00:00.000 255        -4.00
2017-09-12 03:00:00.000 255        -1.00
2017-09-12 04:00:00.000 255         2.00
2017-09-12 05:00:00.000 255         6.00
2017-09-12 06:00:00.000 255         7.00
2017-09-12 07:00:00.000 255        14.00
2017-09-12 08:00:00.000 255        13.00
2017-09-12 09:00:00.000 255         7.00
2017-09-12 10:00:00.000 255         0.00
2017-09-12 11:00:00.000 255       -10.00
2017-09-12 12:00:00.000 255       -14.00
2017-09-12 13:00:00.000 255       -13.00
2017-09-12 14:00:00.000 255       -10.00
2017-09-12 15:00:00.000 255        -6.00
2017-09-12 16:00:00.000 255        -6.00
2017-09-12 17:00:00.000 255        -6.00
2017-09-12 18:00:00.000 255        -2.00
2017-09-12 19:00:00.000 255         1.00
2017-09-12 20:00:00.000 255        13.00
2017-09-12 21:00:00.000 255        12.00
2017-09-12 22:00:00.000 255         7.00
2017-09-12 23:00:00.000 255        -9.00
2017-09-13 00:00:00.000 256       -34.00
2017-09-13 01:00:00.000 256       -22.00
2017-09-13 02:00:00.000 256       -17.00
2017-09-13 03:00:00.000 256       -16.00
2017-09-13 04:00:00.000 256       -21.00
2017-09-13 05:00:00.000 256       -22.00
2017-09-13 06:00:00.000 256       -18.00
2017-09-13 07:00:00.000 256       -18.00
2017-09-13 08:00:00.000 256       -16.00
2017-09-13 09:00:00.000 256        -9.00
2017-09-13 10:00:00.000 256        -7.00
2017-09-13 11:00:00.000 256        -3.00
2017-09-13 12:00:00.000 256         0.00
2017-09-13 13:00:00.000 256        -1.00
2017-09-13 14:00:00.000 256         0.00
2017-09-13 15:00:00.000 256        -6.00
2017-09-13 16:00:00.000 256        -9.00
2017-09-13 17:00:00.000 256        -7.00
2017-09-13 18:00:00.000 256        -6.00
2017-09-13 19:00:00.000 256        -5.00
2017-09-13 20:00:00.000 256        -6.00
2017-09-13 21:00:00.000 256        -9.00
2017-09-13 22:00:00.000 256        -9.00
2017-09-13 23:00:00.000 256        -7.00
